s,a,r,sp
1734,0,0,1800
1800,0,0,0
1075,1,-2,1208
1208,1,-2,1374
1374,0,0,1539
1539,2,-2,1670
1670,0,0,1802
1802,2,-2,1900
1900,0,0,1999
1999,0,0,2098
2098,1,-2,2231
2231,1,-2,0
1140,0,0,1206
1206,1,-2,1306
1306,0,0,1405
1405,0,0,1504
1504,0,0,1603
1603,0,0,1702
1702,0,0,1801
1801,0,0,1900
1900,2,-2,1965
1965,2,-2,1997
1309,1,-2,1541
1541,2,-2,1738
1738,1,-2,1970
1970,0,0,0
1696,2,-2,1563
1563,1,-2,1465
1465,0,0,1366
1366,0,0,1267
1267,0,0,1168
1168,1,-2,1103
1103,2,-2,1003
1003,1,-2,938
938,0,0,872
872,1,-2,840
840,0,0,0
906,1,-2,907
907,1,-2,941
941,0,0,974
974,0,0,1007
1007,2,-2,1006
1006,0,0,1006
1006,2,-2,972
972,0,0,0
1109,0,0,1241
1241,0,0,1373
1373,0,0,1505
1505,2,-2,1603
1603,2,-2,1668
1668,1,-2,1768
1768,2,-2,0
1011,2,-2,1142
1142,2,-2,1240
1240,2,-2,1305
1305,2,-2,1337
1337,2,-2,1336
1336,1,-2,0
1339,2,-2,1404
1404,1,-2,1504
1504,0,0,1603
1603,2,-2,1668
1668,2,-2,1700
1700,0,0,1733
1733,2,-2,0
1165,0,0,967
967,0,0,769
769,0,0,0
1367,1,-2,1335
1335,0,0,1302
1302,2,-2,1235
1235,2,-2,1135
1135,0,0,1036
1036,1,-2,971
971,0,0,905
905,2,-2,805
805,0,0,706
706,1,-2,641
641,0,0,0
1038,2,-2,971
971,1,-2,939
939,0,0,906
906,0,0,873
873,0,0,840
840,2,-2,773
773,2,-2,673
673,0,0,574
574,2,-2,441
441,0,0,309
1167,0,0,1035
1035,1,-2,937
937,0,0,838
838,2,-2,0
1239,2,-2,1271
1271,2,-2,1270
1270,0,0,1270
1270,0,0,1270
1270,1,-2,1304
1304,2,-2,1303
1303,0,0,1303
1303,0,0,1303
1303,0,0,1303
1303,1,-2,1337
1337,2,-2,1336
1438,0,0,1537
1537,1,-2,1670
1670,2,-2,1768
1768,1,-2,1901
1901,0,0,2033
2033,2,-2,0
1465,2,-2,1332
1332,0,0,1200
1200,0,0,1068
1068,0,0,936
936,0,0,804
804,2,-2,638
638,1,-2,507
507,2,-2,341
341,0,0,0
1538,2,-2,1636
1636,0,0,1735
1735,0,0,1834
1834,2,-2,0
1467,2,-2,1400
1400,1,-2,1368
1368,1,-2,1369
1369,2,-2,1335
1335,1,-2,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1371,1,-2,1471
1471,1,-2,1604
1604,0,0,1736
1736,2,-2,1834
1834,0,0,1933
1933,0,0,2032
2032,0,0,2131
2131,1,-2,2264
2264,0,0,2396
2396,0,0,0
1269,2,-2,1202
1202,2,-2,1102
1102,0,0,1003
1003,0,0,904
904,1,-2,839
839,1,-2,807
807,0,0,774
774,1,-2,775
775,0,0,775
775,0,0,775
775,0,0,775
1139,1,-2,1206
1206,0,0,1272
1272,1,-2,1372
1372,0,0,1471
1471,0,0,1570
1570,0,0,1669
1669,0,0,1768
1768,0,0,1867
1867,0,0,1966
1966,2,-2,2031
2031,0,0,2097
2097,2,-2,2129
2129,0,0,2162
1597,0,0,1498
1498,1,-2,1433
1433,2,-2,1333
1333,0,0,1234
1234,0,0,1135
1135,2,-2,1002
1002,2,-2,836
836,0,0,671
671,0,0,506
506,0,0,0
1335,1,-2,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,2,-2,1302
1302,1,-2,1303
1303,0,0,1303
1303,1,-2,1337
1337,1,-2,1404
1404,2,-2,1436
1436,2,-2,1435
1076,0,0,1208
1208,2,-2,1306
1306,0,0,1405
1405,1,-2,1538
1538,0,0,1670
1670,0,0,1802
1802,2,-2,0
1237,1,-2,1271
1271,1,-2,1338
1338,1,-2,1438
1438,2,-2,1503
1503,1,-2,1603
